Issue Type,Summary,Epic Name,Epic Link,Description,Priority MoSCoW,Fuente del requisito,CU asociado,Labels
Story,RF-07 - Registrar ingreso de producto a camara frigorifica,,Procesamiento Pesaje y Camara Frigorifica,El sistema debera permitir registrar el ingreso de producto a camara frigorifica.,Must,Propietaria,CU-06,stakeholder-propietaria cu-06
Story,RF-08 - Calcular y alertar vida util del producto,,Procesamiento Pesaje y Camara Frigorifica,"El sistema debera calcular los dias restantes de vida util de un producto segun su tipo y generar una alerta visual cuando este proximo a vencer.",Must,Propietaria,CU-07,stakeholder-propietaria cu-07
Story,RF-24 - Buscar producto por codigo de lote en catalogo de camaras,,Procesamiento Pesaje y Camara Frigorifica,El sistema debera permitir buscar y filtrar productos almacenados por codigo de lote.,Should,Encargado de bodega (2a ronda),CU-08,stakeholder-bodega cu-08
Story,RF-09 - Registrar baja de producto,,Ventas Inventario y Bajas,"El sistema debera permitir registrar la baja de un producto por vencimiento o mal estado, adjuntando peso, motivo y evidencia fotografica.",Must,Propietaria,CU-10,stakeholder-propietaria cu-10
Story,RF-10 - Registrar venta o salida de producto,,Ventas Inventario y Bajas,El sistema debera permitir registrar la salida de un producto por venta.,Must,Propietaria,CU-09,stakeholder-propietaria cu-09
Story,RF-12 - Realizar conteo de inventario,,Ventas Inventario y Bajas,"El sistema debera permitir registrar un conteo fisico semanal de inventario por camara y comparar el resultado contra el inventario del sistema.",Should,Propietaria,CU-11,stakeholder-propietaria cu-11
Story,RF-16 - Registrar movimientos de inventario por fecha,,Ventas Inventario y Bajas,"El sistema debera registrar cada ingreso y egreso de producto por camara y fecha, permitiendo consultar el stock disponible.",Must,Propietaria,Huerfano,stakeholder-propietaria huerfano-cu
Story,RF-22 - Registrar devoluciones de clientes,,Ventas Inventario y Bajas,El sistema debera permitir registrar la devolucion total o parcial de un producto vendido.,Should,Encargado de bodega (2a ronda),Huerfano,stakeholder-bodega huerfano-cu
Story,RF-18 - Consultar historial de precios por libra,,Precios y Configuracion Comercial,El sistema debera permitir consultar el historial de precios por libra por tipo de producto.,Could,Propietaria (2a ronda),Huerfano,stakeholder-propietaria huerfano-cu
Story,RF-19 - Configurar precios por tipo de producto y temporada,,Precios y Configuracion Comercial,El sistema debera permitir a la propietaria o al administrador configurar precios por tipo de producto y temporada.,Must,Propietaria (2a ronda),Huerfano,stakeholder-propietaria huerfano-cu
Story,RF-11 - Consultar trazabilidad de producto,,Trazabilidad y Auditoria,"El sistema debera permitir consultar, a partir del numero de arete o codigo de lote, la cadena completa de trazabilidad.",Must,Propietaria,CU-08,stakeholder-propietaria cu-08
Story,RF-23 - Exportar evidencia de trazabilidad para auditoria,,Trazabilidad y Auditoria,"El sistema debera permitir exportar, en PDF o CSV, la cadena de trazabilidad para fines de auditoria.",Must,Administrador general (2a ronda),CU-08,stakeholder-administrador cu-08
Story,RF-25 - Generar codigo QR de trazabilidad,,Trazabilidad y Auditoria,El sistema debera permitir generar un codigo QR de trazabilidad del producto.,Could,Cliente / Propietaria (2a ronda),CU-08,stakeholder-cliente cu-08
Story,RF-13 - Generar reportes de ventas compras y perdidas,,Administracion Reportes y Contingencia,El sistema debera generar reportes filtrables por rango de fechas de ventas compras y perdidas.,Must,Propietaria,CU-12,stakeholder-propietaria cu-12
Story,RF-14 - Visualizar panel resumen del negocio,,Administracion Reportes y Contingencia,El sistema debera presentar un panel grafico con las ventas por tipo de producto.,Should,Propietaria,CU-12,stakeholder-propietaria cu-12
Story,RF-15 - Gestionar usuarios y roles,,Administracion Reportes y Contingencia,"El sistema debera permitir crear, editar y desactivar usuarios, asignandoles uno de los roles definidos.",Must,Propietaria,Huerfano,stakeholder-propietaria huerfano-cu
Story,RF-20 - Registrar incidentes de corte de energia,,Administracion Reportes y Contingencia,El sistema debera permitir registrar operaciones criticas de bodega afectadas por incidentes de corte de energia.,Must,Propietaria (hallazgo apagones 2a ronda),Huerfano,stakeholder-propietaria huerfano-cu
Story,RF-21 - Operar en modo de contingencia offline,,Administracion Reportes y Contingencia,"El sistema debera permitir registrar operaciones criticas de bodega (ingreso pesaje) sin conexion a internet y sincronizarlas automaticamente al restablecerse la conectividad.",Must,Encargado de bodega (2a ronda),Huerfano,stakeholder-bodega huerfano-cu
